Participant;A_started;A_finished;B_started;B_finished;C_started;C_finished;D_started;D_finished;Timestamp;;;;;
P01;00:05:22;00:08:27;00:08:50;00:10:36;00:15:57;00:20:29;00:20:52;00:27:07;00:00:35;;;;;
P02;00:25:01;00:28:06;00:11:26;00:13:12;00:13:31;00:18:03;00:28:25;00:34:40;00:00:12;;;;;
P03;00:08:58;00:12:03;00:06:19;00:08:05;00:19:02;00:23:34;00:24:02;00:30:17;00:00:05;;;;;
P04;00:06:13;00:09:18;00:09:35;00:11:21;00:15:57;00:20:29;00:21:11;00:27:26;00:00:14;;;;;
P05;00:05:20;00:06:27;00:06:43;00:08:29;00:20:51;00:25:23;00:14:15;00:20:30;00:00:04;;;;;
P06;00:13:19;00:14:19;00:14:33;00:16:19;00:08:20;00:12:52;00:01:41;00:07:56;00:00:07;;;;;
P07;00:04:30;00:09:23;00:09:39;00:11:25;00:15:47;00:20:19;00:20:40;00:26:55;00:00:03;;;;;
P08;00:23:12;00:26:17;00:18:28;00:20:14;00:13:21;00:17:53;00:06:15;00:12:30;00:00:02;;;;;
P09;00:12:20;00:15:25;00:15:41;00:17:27;00:27:31;00:32:03;00:21:03;00:27:18;00:00:07;;;;;
P10;00:20:58;00:24:03;00:18:53;00:20:39;00:13:34;00:18:06;00:06:57;00:13:12;00:00:02;;;;;
P11;00:09:26;00:12:07;00:07:13;00:08:59;00:25:21;00:29:53;00:18:48;00:25:03;00:00:06;;;;;
P12;00:19:22;00:22:27;00:22:43;00:24:29;00:07:26;00:11:58;00:12:39;00:18:54;00:00:02;;;;;
P13;00:04:26;00:07:31;00:07:53;00:09:39;00:18:28;00:23:00;00:12:00;00:18:15;00:00:05;;;;;
P14;00:08:42;00:11:47;00:06:40;00:08:26;00:14:24;00:18:56;00:19:14;00:25:29;00:00:05;;;;;
P15;00:12:39;00:15:44;00:10:27;00:12:13;00:30:39;00:35:11;00:24:00;00:30:15;00:00:04;;;;;
P16;00:10:07;00:13:12;00:13:46;00:15:32;00:26:39;00:31:11;00:20:01;00:26:16;00:00:05;;;; ;
P17;00:19:13;00:22:18;00:22:36;00:24:22;00:07:22;00:11:54;00:12:17;00:18:32;00:00:04;;;;;
P18;00:23:18;00:26:23;00:21:18;00:23:04;00:09:27;00:13:59;00:14:19;00:20:34;00:00:05;;;;;
P19;00:06:19;00:09:24;00:09:36;00:11:22;00:20:40;00:25:12;00:13:56;00:20:11;00:00:01;;;;;
P20;00:17:17;00:20:22;00:20:32;00:22:18;00:12:29;00:17:01;00:05:53;00:12:08;00:05:53;;;;;
P21;00:16:37;00:19:42;00:20:01;00:21:47;00:04:48;00:09:20;00:09:56;00:16:11;00:00:11;;;;;
P22;00:07:09;00:10:14;00:05:13;00:06:59;00:19:21;00:23:53;00:12:50;00:19:05;00:00:03;;;;;
P23;00:04:34;00:07:39;00:07:55;00:09:41;00:18:13;00:22:45;00:23:02;00:29:17;00:00:03;;;;;
P24;00:13:29;00:16:10;00:16:34;00:18:20;00:08:36;00:13:08;00:01:55;00:08:10;00:00:04;;;;;
P25;00:00:33;00:03:38;00:03:56;00:05:42;00:09:47;00:14:19;00:14:48;00:21:03;00:00:02;;;;;
P26;00:15:11;00:17:53;00:13:02;00:14:48;00:07:58;00:12:30;00:01:07;00:07:22;00:00:03;;;;;
P27;00:17:31;00:20:36;00:20:55;00:22:41;00:11:52;00:16:24;00:05:19;00:11:34;00:00:04;;;;;
P28;00:17:03;00:20:08;00:20:31;00:22:17;00:05:30;00:10:02;00:10:22;00:16:37;00:00:02;;;;;
